event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
AFG69527,"21 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kapisa,Nijrab,,Nijrab,34.9789,69.5724,1,"Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 21 February 2025, two Taliban members were killed and three were wounded following an attack on the district building (likely at the center of the district) by National Resistance Front militants in Nijrab district, Kapisa. No casualties from NRF.",2,,1740519966
AFG69507,"20 February 2025",2025,2,"Strategic developments","Strategic developments",Arrests,"Military Forces of Afghanistan (2021-)",,"State forces","Islamic State Khorasan Province (ISKP)","Police Forces of Afghanistan (2021-)","Rebel group","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Baghlan,Pul-i-Khumri,,Pul-i-Khumri,35.9446,68.7151,1,Twitter,"New media","Around 20 February 2025 (as reported), one ISKP member, who was a Taliban member for over two decades and had still worked as a Taliban policeman, was arrested while trying to plant a bomb in the police chief office of PD1 in Pul-i-Khumri city, Baghlan. He was the head of the CID in PD1 of the city when he was arrested. He admitted to joining the ISKP during the preliminary interrogation.",0,,1740519966
AFG69498,"19 February 2025",2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Afghanistan Freedom Front",,"Rebel group","Military Forces of Afghanistan (2021-)","Civilians (Afghanistan)","State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Balkh,Mazar-e-Sharif,,Mazar-e-Sharif,36.709,67.1109,1,"Amu TV; Hasht-e Subh; Twitter","New media-National","On 19 February 2025, two Taliban members including a commander who was the head of Taliban members in PD2 were killed and two were wounded when a magnetic bomb attached to a vehicle exploded near the Kifayat Exchange Market in Mazar-e-Sharif city, Balkh. Afghanistan Freedom Front claimed the attack. At least three civilians were also wounded.",2,,1740519966
AFG69506,"19 February 2025",2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)",,Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Badakhshan,Shiki,,Jarf,38.2381,70.5461,2,"Hasht-e Subh; Shafaqna",National,"On 19 February 2025, a Taliban member shot and wounded six people during a football match between the Ghamai and Obaghan villages in Shiki district [coded to Jarf], Badakhshan. A confrontation between two Taliban groups followed after one player hit the ball towards the goal and it accidentally hit one of the Taliban members in the face. Some sources claimed the two groups clashed, while others said they simply prepared to do so as they have been at odds in the past over gold mines.",0,,1740519966
AFG69509,"19 February 2025",2025,2,"Political violence",Battles,"Armed clash","Military Forces of Pakistan (2022-)",,"External/Other forces","Military Forces of Afghanistan (2021-)",,"State forces","State forces-External/Other forces",,4,"Caucasus and Central Asia",Afghanistan,Nangarhar,"Dur Baba",,"Dur Baba",34.0397,70.93,2,Twitter,"New media","Around 19 February 2025 (as reported), Pakistani forces and the Taliban clashed after Pakistani forces shelled the Sasobi Kandaw area of Dur Baba district, Nangarhar. Some residents left the area along the Durand Line due to the clashes. Casualties unknown.",0,,1740519966
AFG69526,"19 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Aamaj News; Amu TV; Etilaat e Roz; Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 19 February 2025, National Resistance Front attacked and clashed with Taliban members near the Ministry of Interior near the road to the airport in PD15, Kabul city. An explosion was reported in the area, likely as part of the clashes as well. No NRF casualties. Unconfirmed number of fatalities coded as 3 (NRF claimed four Taliban members were killed and three Taliban members were wounded, while two civilians were wounded by Taliban fire).",3,,1740519966
AFG69537,"19 February 2025",2025,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Afghanistan)",,"Political militia","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Political militia",,4,"Caucasus and Central Asia",Afghanistan,Helmand,Lashkargah,,Lashkargah,31.5938,64.3716,1,"Amu TV",National,"On 19 February 2025, an unknown group and the Taliban engaged in clashes in the Safiyan area of PD7, Lashkargah city, Helmand. Casualties unknown.",0,,1740519966
AFG69504,"18 February 2025",2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","LGBTQ+ (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Khost,Baak,,Baak,33.5317,70.0214,2,"Etilaat e Roz; Rukhshana Media",National,"On 18 February 2025, three individuals were publicly flogged with 39 lashes each and sentenced to 1-5 years in prison by the Taliban in Baak district, Khost. An unknown number of them were accused of homosexuality.",0,,1740519966
AFG69505,"18 February 2025",2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)",,Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Kunduz,Kunduz,,Kunduz,36.729,68.857,3,"Aamaj News; Amu TV",National,"On 18 February 2025, a civil society activist was detained, beaten, and tortured by Taliban members in front of his wife and children in Kunduz province. The motive behind his arrest and his whereabouts remained unknown.",0,,1740519966
AFG69514,"18 February 2025",2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","LGBTQ+ (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Faryab,Maimana,,Maimana,35.9213,64.7841,3,"Etilaat e Roz; Rukhshana Media",National,"On 18 February 2025, three individuals including a woman were publicly flogged with 39 lashes each and sentenced to 12-18 months in prison by the Taliban in Faryab (coded to Maimana) province. One of them was accused of homosexuality.",0,,1740519966
AFG69525,"18 February 2025",2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Takhar,Taluqan,,Taluqan,36.7341,69.5336,1,"National Resistance Front of Afghanistan",Other,"On 18 February 2025, National Resistance Front militants launched a rocket attack on a Taliban base in Taluqan city, Takhar, resulting in wounding of two Taliban members. No NRF casualties.",0,,1740519966
AFG69530,"18 February 2025",2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","National Resistance Front","Afghanistan Freedom Front","Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kunduz,Kunduz,,Kunduz,36.729,68.857,1,"Aamaj News; Hasht-e Subh; National Resistance Front of Afghanistan; Twitter","Other-New media","On 18 February 2025, a Taliban member was killed, and two others were wounded in an explosion caused by the detonation of a hand grenade (unknown if hurled or planted) by National Resistance Front militants on a Taliban Ranger vehicle at their checkpoint near Bala Hisar Square in PD5 of Kunduz city. No NRF casualties. Afghanistan Freedom Front claimed an attack on the same area on the same date on Taliban and said three Taliban members were killed and two were wounded. Lowest fatalities count coded as 1.",1,,1740519966
