province,district,distid,yq,year,quarter,wave_anqar,gov_anqar,age_anqar,com_anqar,hea_anqar,com1,com2,com3,com3a,com3b,acts,acts_combat,acts_ci,acts_criminal,oti_d_s,oti_d_e,oti_d_m,oti_p_s,oti_p_e,nsp_d_s,nsp_d_e,nsp_d_m,nsp_p_s,nsp_p_e,lgcd_d_s,lgcd_d_e,lgcd_d_m,lgcd_p_s,lgcd_p_e,ai_d_s,orbat,eco_viirs,eco_dmsp,population,tot_d_s,tot_d_e,tot_d_m
Kabul,Kabul,101,2006q1,2006,1,,,,,,,,,,,202,12,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4017898,0,0,0
Kabul,Kabul,101,2008q3,2008,3,1,-0.270307439,,,,-0.047306482,,,,,171,17,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,16090,4017898,0,0,0
Kabul,Kabul,101,2006q4,2006,4,,,,,,,,,,,250,28,25,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4017898,0,0,0
Kabul,Kabul,101,2007q1,2007,1,,,,,,,,,,,164,15,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4017898,0,0,0
Kabul,Kabul,101,2012q2,2012,2,16,1.129625021,-0.111156473,0.450555609,0.581725,0.48635018,0.936626281,0.933333333,0.201826484,0.731506849,473,44,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59407996,21,,22609,4017898,0,0,0
Kabul,Kabul,101,2006q2,2006,2,,,,,,,,,,,499,19,25,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4017898,0,0,0
Kabul,Kabul,101,2009q2,2009,2,4,0.389373894,,,,0.368282941,,,,,158,29,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,18053,4017898,0,0,0
Kabul,Kabul,101,2008q1,2008,1,,,,,,,,,,,197,26,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,16090,4017898,0,0,0
Kabul,Kabul,101,2013q1,2013,1,19,1.040006528,-0.433707878,0.297701678,0.243625051,0.471897925,0.525379038,0.928479381,0.193298969,0.735180412,586,17,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50901168,21,,21999,4017898,0,0,0
Kabul,Kabul,101,2009q3,2009,3,5,0.101374808,,,,-0.083513363,,,,,237,49,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,,18053,4017898,0,0,0
Kabul,Kabul,101,2012q3,2012,3,17,0.597549604,-0.618959107,0.150168148,0.402970967,0.284232528,0.386920981,0.918331885,0.180712424,0.737619461,493,24,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52271948,20,,22609,4017898,0,0,0
Kabul,Kabul,101,2011q4,2011,4,14,0.590954375,-0.39172564,-0.096781676,0.668388589,0.112833323,0.100936524,0.870503597,0.233299075,0.637204522,412,34,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87180172,19,,20951,4017898,0,0,0
Kabul,Kabul,101,2016q1,2016,1,,,,,,,,,,,,,,,0,0,0,0,0,0,332952,95618.10011,0,11,0,0,0,0,0,40977996,9,22492.60182,,4017898,0,332952,95618.10011
Kabul,Kabul,101,2014q2,2014,2,24,1.376142032,-0.630987335,0.409200406,0.699284874,0.689525675,0.626806833,0.907810499,0.149807939,0.758002561,1003,35,3,19,1352703.415,372201.2857,1052475.239,26,5,1563727,158424,487706.25299999997,31,3,0,0,0,0,0,51544297,9,11993.4762,,4017898,2916430.415,530625.2857,1540181.4919999999
Kabul,Kabul,101,2016q3,2016,3,,,,,,,,,,,,,,,0,0,0,0,0,0,46324,13897.199709999999,0,1,0,0,0,0,0,22080303,,,,4017898,0,46324,13897.199709999999
Kabul,Kabul,101,2014q1,2014,1,23,1.143122889,-0.476309777,0.279481601,,0.516852356,0.479947403,0.915100454,0.217109527,0.697990927,721,31,2,22,1442708.282,127188.16,739865.3781,11,3,229453,0,218609.1457,7,0,0,0,0,0,0,42949832,15,13472.5859,,4017898,1672161.282,127188.16,958474.5237
Kabul,Kabul,101,2013q4,2013,4,22,1.224080994,-0.175432196,0.272300533,,0.533362143,0.396856582,0.917419355,0.179354839,0.738064516,852,42,2,19,286294.4857,111340.13,249672.1643,7,1,570455,0,168598.0226,12,0,0,0,0,0,0,46796708,15,,21999,4017898,856749.4857,111340.13,418270.1869
Kabul,Kabul,101,2014q3,2014,3,25,0.909699348,-0.654852429,,,0.537331484,0.829833454,,,,1339,70,4,46,1936359.05,2627058.1119999997,3969908.845,43,50,763750,193953,747663.7413,20,4,0,0,0,0,0,36012355,13,20693.40122,,4017898,2700109.05,2821011.1119999997,4717572.587
Kabul,Kabul,101,2011q2,2011,2,12,-0.121759897,-0.689422303,-0.42934485,,0.139056117,-0.343007916,0.722438392,0.356679637,0.365758755,426,23,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91490708,14,,20951,4017898,0,0,0
Kabul,Kabul,101,2005q2,2005,2,,,,,,,,,,,77,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4017898,0,0,0
