district	Indicator 1 Definition	Indicator 2	province	Continuous 1	Geometry	Latitude (generated)	Longitude (generated)
Zurmat	Number of persons excluding nomadic population (according to official estimates)		Paktya	111,604.0	Polygon	33.422466954	69.017191800
Zindajan	Number of persons excluding nomadic population (according to official estimates)		Hirat	59,278.0	Polygon	34.264937809	61.817245579
Zhiray	Number of persons excluding nomadic population (according to official estimates)		Kandahar	89,039.0	Polygon	31.659400358	65.383710344
‌‌Zerok‌‎‌‎‌‎	Number of persons excluding nomadic population (according to official estimates)		Pakteka	20,003.0	Polygon	33.158359314	69.305637619
Zebak	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	8,172.0	Polygon	36.361303067	71.272311568
Zari	Number of persons excluding nomadic population (according to official estimates)		Balkh	45,496.0	Polygon	35.860436954	66.714557198
Zarghonshahr	Number of persons excluding nomadic population (according to official estimates)		Pakteka	30,980.0	Polygon	32.874958629	68.442356797
Zaranj	Number of persons excluding nomadic population (according to official estimates)		Nemroz	59,308.0	Polygon	30.904818393	62.045472518
Zanakhan	Number of persons excluding nomadic population (according to official estimates)		Ghazni	13,051.0	Polygon	33.678993881	68.648644853
Zadran	Number of persons excluding nomadic population (according to official estimates)		Paktya	36,836.0	Polygon	33.416215498	69.424522435
Yosufkhel	Number of persons excluding nomadic population (according to official estimates)		Pakteka	14,027.0	Polygon	33.036413346	68.657889075
Yawan	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	33,664.0	Polygon	37.514600876	70.388242843
Yangiqala	Number of persons excluding nomadic population (according to official estimates)		Takhar	46,384.0	Polygon	37.455572044	69.660755945
Yamgan	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	26,712.0	Polygon	36.432053798	70.784599740
Yakawlang	Number of persons excluding nomadic population (according to official estimates)		Bamyan	63,181.0	Polygon	35.039947647	66.994870950
Yahyakhel	Number of persons excluding nomadic population (according to official estimates)		Pakteka	18,052.0	Polygon	32.905985275	68.639030969
Yaftal-e-Sufla	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	54,765.0	Polygon	37.292506237	70.361648540
Wormamay	Number of persons excluding nomadic population (according to official estimates)		Pakteka	3,660.0	Polygon	31.962903869	68.809059032
Wazakhah	Number of persons excluding nomadic population (according to official estimates)		Pakteka	24,028.0	Polygon	32.223649509	68.277199735
Waygal	Number of persons excluding nomadic population (according to official estimates)		Noristan	20,369.0	Polygon	35.181413210	70.997138460
Watapor	Number of persons excluding nomadic population (according to official estimates)		Kunarha	28,419.0	Polygon	34.972028895	71.079463957
Washer	Number of persons excluding nomadic population (according to official estimates)		Hilmand	16,222.0	Polygon	32.065660895	63.938510547
Warsaj	Number of persons excluding nomadic population (according to official estimates)		Takhar	39,397.0	Polygon	36.104684106	70.158582544
Warduj	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	22,686.0	Polygon	36.790874226	71.142939760
Waras	Number of persons excluding nomadic population (according to official estimates)		Bamyan	113,190.0	Polygon	34.163207851	66.930111906
Wama	Number of persons excluding nomadic population (according to official estimates)		Noristan	11,466.0	Polygon	35.107367766	70.719287940
Walemuhammad-e- Shahed	Number of persons excluding nomadic population (according to official estimates)		Ghazni	20,857.0	Polygon	33.564028209	68.309528881
